noise,num_samples,strategy,count
2,500,"(1, 0, 1, 1, 1)",41
2,500,"(0, 1, 0, 0, 0)",14
2,500,"(1, 1, 0, 0, 0)",14
2,500,"(0, 1, 0, 0, 1)",14
2,500,"(1, 1, 0, 0, 1)",42
2,500,"(0, 1, 0, 1, 0)",41
2,500,"(1, 1, 0, 1, 0)",14
2,500,"(0, 1, 1, 0, 0)",13
2,500,"(1, 1, 1, 0, 0)",5
2,500,"(0, 1, 1, 0, 1)",13
2,500,"(1, 1, 1, 0, 1)",14
2,500,"(0, 1, 1, 1, 0)",14
2,500,"(1, 1, 1, 1, 0)",5
2,500,"(0, 1, 1, 1, 1)",41
2,500,"(1, 1, 1, 1, 1)",14
5,50,"(0, 0, 0, 0, 0)",119
5,50,"(1, 0, 0, 0, 0)",162
5,50,"(0, 0, 0, 0, 1)",110
5,50,"(1, 0, 0, 0, 1)",158
5,50,"(0, 0, 0, 1, 0)",191
5,50,"(1, 0, 0, 1, 0)",194
5,50,"(0, 0, 0, 1, 1)",155
5,50,"(1, 0, 0, 1, 1)",200
5,50,"(0, 0, 1, 0, 0)",120
5,50,"(1, 0, 1, 0, 0)",152
5,50,"(0, 0, 1, 0, 1)",118
5,50,"(1, 0, 1, 0, 1)",160
5,50,"(0, 0, 1, 1, 0)",189
5,50,"(1, 0, 1, 1, 0)",159
5,50,"(0, 0, 1, 1, 1)",187
5,50,"(1, 0, 1, 1, 1)",195
5,50,"(0, 1, 0, 0, 0)",166
5,50,"(1, 1, 0, 0, 0)",161
5,50,"(0, 1, 0, 0, 1)",159
5,50,"(1, 1, 0, 0, 1)",198
5,50,"(0, 1, 0, 1, 0)",192
5,50,"(1, 1, 0, 1, 0)",161
5,50,"(0, 1, 0, 1, 1)",200
5,50,"(1, 1, 0, 1, 1)",200
5,50,"(0, 1, 1, 0, 0)",155
5,50,"(1, 1, 1, 0, 0)",116
5,50,"(0, 1, 1, 0, 1)",160
5,50,"(1, 1, 1, 0, 1)",160
5,50,"(0, 1, 1, 1, 0)",155
5,50,"(1, 1, 1, 1, 0)",114
5,50,"(0, 1, 1, 1, 1)",194
5,50,"(1, 1, 1, 1, 1)",161
5,100,"(0, 0, 0, 0, 0)",60
5,100,"(1, 0, 0, 0, 0)",89
5,100,"(0, 0, 0, 0, 1)",52
5,100,"(1, 0, 0, 0, 1)",94
5,100,"(0, 0, 0, 1, 0)",148
5,100,"(1, 0, 0, 1, 0)",159
5,100,"(0, 0, 0, 1, 1)",91
5,100,"(1, 0, 0, 1, 1)",200
5,100,"(0, 0, 1, 0, 0)",58
5,100,"(1, 0, 1, 0, 0)",87
5,100,"(0, 0, 1, 0, 1)",58
5,100,"(1, 0, 1, 0, 1)",95
5,100,"(0, 0, 1, 1, 0)",150
5,100,"(1, 0, 1, 1, 0)",88
