,m,eps,time,algo
99,4600,0.1,0.016397953033447266,psp
100,12000,0.1,0.07038998603820801,ps
101,2300,0.1,0.007358074188232422,psp
102,24800,0.1,0.1484818458557129,ps
103,2300,0.1,0.006952047348022461,psp
104,2400,0.1,0.01391911506652832,ps
105,2400,0.1,0.007451772689819336,psp
106,5600,0.1,0.02769780158996582,ps
107,32300,0.1,0.09704113006591797,psp
108,12000,0.1,0.06940293312072754,ps
109,8300,0.1,0.02872610092163086,psp
110,5600,0.1,0.03024005889892578,ps
111,2300,0.1,0.007772207260131836,psp
112,50400,0.1,0.3050680160522461,ps
113,2300,0.1,0.009076118469238281,psp
114,5600,0.1,0.03119683265686035,ps
115,2300,0.1,0.007187843322753906,psp
116,5600,0.1,0.02721881866455078,ps
117,16300,0.1,0.04969501495361328,psp
118,24800,0.1,0.1482861042022705,ps
119,2300,0.1,0.007046937942504883,psp
120,12000,0.1,0.06613874435424805,ps
121,2300,0.1,0.007180929183959961,psp
122,24800,0.1,0.1404421329498291,ps
123,2300,0.1,0.009240865707397461,psp
124,12000,0.1,0.06528615951538086,ps
125,8300,0.1,0.027861595153808594,psp
126,24800,0.1,0.13974785804748535,ps
127,16300,0.1,0.05469799041748047,psp
128,5600,0.1,0.03272128105163574,ps
129,8300,0.1,0.027594327926635742,psp
130,24800,0.1,0.1411430835723877,ps
131,4300,0.1,0.01891613006591797,psp
132,12000,0.1,0.07184505462646484,ps
133,4300,0.1,0.013141870498657227,psp
134,5600,0.1,0.027400970458984375,ps
135,2600,0.1,0.009683847427368164,psp
136,12000,0.1,0.06640005111694336,ps
137,4300,0.1,0.017737865447998047,psp
138,2400,0.1,0.013181209564208984,ps
139,2300,0.1,0.008606195449829102,psp
140,2400,0.1,0.013122797012329102,ps
141,2300,0.1,0.007233619689941406,psp
142,5600,0.1,0.027894020080566406,ps
143,4300,0.1,0.0162808895111084,psp
144,12000,0.1,0.06278872489929199,ps
145,2300,0.1,0.007433176040649414,psp
146,12000,0.1,0.07414889335632324,ps
147,2300,0.1,0.007147073745727539,psp
148,5600,0.1,0.032318830490112305,ps
149,2300,0.1,0.008506059646606445,psp
150,2400,0.1,0.018702983856201172,ps
151,8300,0.1,0.027974843978881836,psp
152,24800,0.1,0.14339208602905273,ps
153,4400,0.1,0.017043113708496094,psp
154,5600,0.1,0.033638954162597656,ps
155,2300,0.1,0.00985407829284668,psp
156,2400,0.1,0.0117340087890625,ps
157,2400,0.1,0.00952601432800293,psp
158,5600,0.1,0.02864694595336914,ps
159,4300,0.1,0.015549182891845703,psp
160,5600,0.1,0.028517961502075195,ps
161,32300,0.1,0.11211895942687988,psp
162,5600,0.1,0.03201723098754883,ps
163,2300,0.1,0.0072629451751708984,psp
164,2400,0.1,0.011283159255981445,ps
165,4300,0.1,0.0148773193359375,psp
166,12000,0.1,0.0703887939453125,ps
167,2300,0.1,0.006978034973144531,psp
168,2400,0.1,0.01282501220703125,ps
169,16300,0.1,0.05517005920410156,psp
170,5600,0.1,0.028174877166748047,ps
171,2300,0.1,0.009617090225219727,psp
172,5600,0.1,0.03146696090698242,ps
173,2400,0.1,0.007260799407958984,psp
174,2400,0.1,0.014014244079589844,ps
175,800,0.1,0.002511262893676758,psp
176,5600,0.1,0.02809596061706543,ps
177,8300,0.1,0.027747154235839844,psp
178,5600,0.1,0.03022313117980957,ps
179,4500,0.1,0.01926565170288086,psp
180,2400,0.1,0.021245956420898438,ps
181,2300,0.1,0.007983207702636719,psp
182,24800,0.1,0.13922381401062012,ps
183,16300,0.1,0.05745410919189453,psp
184,2400,0.1,0.013231992721557617,ps
185,2300,0.1,0.009132146835327148,psp
186,5600,0.1,0.02975320816040039,ps
187,2300,0.1,0.00893712043762207,psp
188,2400,0.1,0.012350797653198242,ps
189,8300,0.1,0.027348995208740234,psp
190,5600,0.1,0.030083179473876953,ps
191,2500,0.1,0.0075910091400146484,psp
192,2400,0.1,0.010584115982055664,ps
193,8300,0.1,0.03194904327392578,psp
194,2400,0.1,0.013067960739135742,ps
195,2300,0.1,0.008543968200683594,psp
196,5600,0.1,0.03738975524902344,ps
